address,phone,name,firstname,rpps
"123 Main St","+1 234-567-8901","Doe","John",12345
"456 Elm St",,"Smith","Jane",67890
"789 Oak St","+1 345-678-9012","Brown","Mike",54321
"101 Pine Ave","+1 456-789-0123","Wilson","Alice",11223
"202 Birch Rd",,"Taylor","Bob",33445
"303 Maple Dr","+1 567-890-1234","Davis","Emily",55667
"404 Cedar Blvd",,"Martinez","Carlos",77889
"505 Oak Ln","+1 678-901-2345","Garcia","Sophia",99001
"606 Ash St",,"Lopez","Mia",22334
"707 Willow Way","+1 789-012-3456","Miller","David",44556
